cp post id, CP spot baseline score
1621,            no resolution
4779,            no resolution
5587,            no resolution
24806,           94.11063109464314
28972,           -32.19280948873623
28974,           -15.200309344505014
28925,           no resolution
28925,           no resolution
28925,           no resolution
28925,           no resolution
28925,           no resolution
20694,           94.11063109464314
25749,           99.71117206751734
26304,           26.303440583379377
28854,           71.36958148433588
28841,           58.496250072115615
28657,           -15.200309344504996
28650,           -32.19280948873623
29086,           no resolution
29140,           no resolution
29027,           no resolution
29090,           no resolution
28742,           no resolution
29242,           58.496250072115615
29077,           10.093167305143828
29077,           10.093167305143828
29077,           10.093167305143828
29028,           66.76343669621758
29028,           66.76343669621758
28783,           76.55347463629771
28546,           52.60688116675877
8001,            no resolution
5201,            no resolution
